fiyat;marka;seri;model;yil;km;vites;yakit;kasa;renk;motorHacmi;motorGucu;cekis;yakitTuketimi;yakitDeposu;boyaDegisen;takas;kimden
875.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2015;275.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;4 boyalı;Takasa Uygun;Galeriden
996.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2015;115.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1395 cc;125 hp;Önden Çekiş;4,9 lt;50 lt;1 değişen;Takasa Uygun Değil;Galeriden
915.900 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2015;210.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
655.000 TL;Audi;A3;A3 Sportback 1.6 Attraction;2008;160.000 km;Otomatik;Benzin;Hatchback/5;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;1 değişen, 2 boyalı;Takasa Uygun;Galeriden
1.050.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2016;203.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
2.145.000 TL;Audi;A3;A3 Cabrio 35 TFSI Design;2020;13.476 km;Yarı Otomatik;Benzin;-;Gri;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
1.059.000 TL;Audi;A3;A3 Sportback 1.0 TFSI Dynamic;2017;92.000 km;Yarı Otomatik;Benzin;Hatchback/5;Siyah;999 cc;116 hp;Önden Çekiş;4,5 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
805.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2013;270.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;1 değişen, 6 boyalı;Takasa Uygun;Sahibinden
920.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2012;144.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;1 değişen, 1 boyalı;-;Sahibinden
550.000 TL;Audi;A3;A3 Sportback 1.6 FSI;2006;235.000 km;Düz;LPG & Benzin;Hatchback/5;Gri;1595 cc;115 hp;Önden Çekiş;6,5 lt;55 lt;3 değişen, 4 boyalı;-;Sahibinden
935.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2014;176.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;-;Sahibinden
900.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2012;194.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
1.060.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2014;122.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
1.155.000 TL;Audi;A3;A3 Sedan 1.0 TFSI Dynamic;2016;125.500 km;Yarı Otomatik;Benzin;Sedan;Siyah;999 cc;116 hp;Önden Çekiş;4,4 lt;50 lt;Tamamı orjinal;-;Sahibinden
1.065.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;16.200 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;3 değişen, 1 boyalı;Takasa Uygun Değil;Galeriden
594.900 TL;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2009;208.000 km;Yarı Otomatik;Benzin;Hatchback/3;Siyah;1390 cc;125 hp;Önden Çekiş;5,7 lt;55 lt;6 boyalı;Takasa Uygun;Galeriden
960.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2013;150.000 km;Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
1.025.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2013;115.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;1395 cc;140 hp;Önden Çekiş;4,8 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Sahibinden
895.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2015;197.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.290.000 TL;Audi;A3;A3 Sedan 35 TFSI Dynamic;2020;99.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Tamamı orjinal;-;Sahibinden
1.015.000 TL;Audi;A3;A3 Sedan 1.0 TFSI Dynamic;2017;105.000 km;Yarı Otomatik;Benzin;Sedan;Siyah;999 cc;116 hp;Önden Çekiş;4,4 lt;50 lt;Tamamı orjinal;-;Sahibinden
1.355.000 TL;Audi;A3;A3 Sportback 1.6 TDI Design Line;2016;80.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Sahibinden
1.399.000 TL;Audi;A3;A3 Sedan 35 TFSI Dynamic;2020;27.000 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1498 cc;150 hp;Önden Çekiş;5,1 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
1.198.950 TL;Audi;A3;A3 Sedan 1.4 TFSI Ambition;2016;69.800 km;Yarı Otomatik;Benzin;Sedan;Beyaz;1395 cc;150 hp;Önden Çekiş;4,7 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
859.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2014;129.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;2 değişen, 1 boyalı;Takasa Uygun;Galeriden
775.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Ambition;2011;155.000 km;Yarı Otomatik;Benzin;Hatchback/3;Siyah;1390 cc;125 hp;Önden Çekiş;5,6 lt;55 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
1.049.900 TL;Audi;A3;A3 Sedan 1.6 TDI Design Line;2018;98.000 km;Yarı Otomatik;Dizel;Sedan;Kırmızı;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;7 boyalı;Takasa Uygun;Galeriden
925.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2015;221.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;5 boyalı;Takasa Uygun Değil;Galeriden
970.000 TL;Audi;A3;A3 Sportback 1.6 TDI Dynamic;2016;124.000 km;Yarı Otomatik;Dizel;Hatchback/5;Siyah;1598 cc;110 hp;Önden Çekiş;3,8 lt;50 lt;2 boyalı;Takasa Uygun Değil;Galeriden
975.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2017;218.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;116 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
345.000 TL;Audi;A3;A3 Sportback 1.6 Attraction;1999;276.500 km;Otomatik;LPG & Benzin;Hatchback/5;Gri (Gümüş);1595 cc;101 hp;Önden Çekiş;8,6 lt;55 lt;Belirtilmemiş;Takasa Uygun;Sahibinden
475.000 TL;Audi;A3;A3 Sportback 1.6 Standart;2007;270.000 km;Otomatik;Benzin;Hatchback/3;Siyah;1595 cc;102 hp;Önden Çekiş;7,6 lt;55 lt;2 değişen, 11 boyalı;-;Sahibinden
1.435.000 TL;Audi;A3;A3 Sportback 35 TFSI Dynamic;2020;32.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;1 boyalı;Takasa Uygun;Galeriden
965.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2016;128.000 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;-;Sahibinden
955.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2015;107.000 km;Otomatik;Dizel;Sedan;Siyah;-;-;-;-;-;Tamamı orjinal;-;Sahibinden
1.100.000 TL;Audi;A3;A3 Sedan 1.6 TDI Attraction;2013;176.000 km;Otomatik;Dizel;Sedan;Gri (metalik);1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
850.000 TL;Audi;A3;A3 Sportback 1.6 TDI Attraction;2013;131.494 km;Yarı Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;4,3 lt;55 lt;2 boyalı;Takasa Uygun;Galeriden
980.900 TL;Audi;A3;A3 Sedan 1.6 TDI Ambition;2014;216.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun Değil;Galeriden
999.000 TL;Audi;A3;A3 Sedan 1.6 TDI Ambiente;2015;115.000 km;Yarı Otomatik;Dizel;Sedan;Beyaz;1598 cc;110 hp;Önden Çekiş;3,9 lt;50 lt;Belirtilmemiş;Takasa Uygun;Galeriden
580.000 TL;Audi;A3;A3 Sportback 1.4 TFSI Attraction;2008;252.000 km;Düz;Benzin;Hatchback/3;Füme;1390 cc;125 hp;Önden Çekiş;5,9 lt;55 lt;Takasa Uygun;Takasa Uygun;Sahibinden
975.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambition;2013;218.000 km;Otomatik;Dizel;Hatchback/5;Beyaz;1598 cc;105 hp;Önden Çekiş;3,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
595.000 TL;Audi;A3;A3 Sportback 1.6 Sportback Attraction;2010;320.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1595 cc;102 hp;Önden Çekiş;6,9 lt;55 lt;1 değişen, 6 boyalı;Takasa Uygun;Sahibinden
935.000 TL;Audi;A3;A3 Sportback 1.6 TDI Ambiente;2014;125.000 km;Yarı Otomatik;Dizel;Hatchback/3;Beyaz;1598 cc;105 hp;Önden Çekiş;3,8 lt;50 lt;1 değişen, 2 boyalı;-;Sahibinden
1.215.000 TL;Audi;A3;A3 Sportback 35 TFSI Dynamic;2020;85.200 km;Yarı Otomatik;Benzin;Hatchback/5;Gri (titanyum);1498 cc;150 hp;Önden Çekiş;4,9 lt;50 lt;Tamamı orjinal;Takasa Uygun Değil;Galeriden
745.000 TL;Audi;A3;A3 Sportback 1.2 TFSI Attraction;2012;190.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;105 hp;Önden Çekiş;5,5 lt;55 lt;1 değişen, 1 boyalı;Takasa Uygun;Galeriden
925.000 TL;Audi;A3;A3 Sedan 1.6 TDI Dynamic;2016;183.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
1.243.000 TL;Audi;A3;A3 Sedan 1.6 TDI Sport Line;2016;119.000 km;Yarı Otomatik;Dizel;Sedan;Siyah;1598 cc;110 hp;Önden Çekiş;3,7 lt;50 lt;Tamamı orjinal;Takasa Uygun;Galeriden
